Product Code,Old Product Code,Manufacturer,Product Description,Unit of Measure,Trade Price,Sell Price,Bar Code,Group Description,Sub Group-1 Description,Sub Group-2 Description
10047248,CLI563B/100,CLI,CLI563B/100: Connector Terminal Single 40A,EA,0.00,0.43,9311554794095,CABLE ACCESSORIES,CABLE CONNECTORS,CABLE CONNECTORS
10118288,OMEFC1-1.5TEB,OME,OMEFC1-1.5TEB: Cable Clip Flat 1-1.5mmsq T&E In Bucket,BU,0.00,17.24,9323441002961,CABLE ACCESSORIES,CABLE CLIPS,PLASTIC CABLE CLIPS
10081215,CLIC2015-WE,CLI,CLIC2015-WE: Powerpoint 1 Gang 10A 250V WH,EA,0.00,8.42,9311554334550,BAKELITE,DOMESTIC & ALLIED PRODUCTS,BAKELITE FAST MOVERS
10180884,OMEPBH725,OME,OMEPBH725: Screw Bugle Head 7g x 25mm,PK,0.00,3.43,9323441004231,TOOLS  FASTENERS  LADDERS & AC,FASTENERS,SCREWS
10317853,AIRCE200N,AIR,AIRCE200N: Fan Ceiling Exhaust  200Mm,EA,0.00,43.13,,HEATING & AIR MOVEMENT,FANS  AIR MOVEMENT,EXHAUST FAN & ACCESS. DOMESTIC
10109042,LEGED787WE,LEG,LEGED787WE: Powerpoint 1 Gang 10A 250V WH,EA,0.00,9.53,9321001396611,BAKELITE,DOMESTIC & ALLIED PRODUCTS,BAKELITE FAST MOVERS
10044948,AUS50HD,AUS,AUS50HD: Conduit PVC Solid 50mm x 4MT Orange,LN,0.00,31.16,9322537008016,PVC CONDUIT & FITTINGS,PVC RIGID CONDUIT,PVC RIGID CONDUIT HEAVY DUTY
10043572,PDL49WE,PDL,PDL49WE: Conical Shade White Polycarbonate,EA,0.00,4.25,9416175021329,LIGHT FITTINGS,INCANDESCENT LIGHT FITTINGS,INCANDESCENT LIGHT FITTINGS
10363076,MRCMX1210O-CCT,MRC,MRCMX1210O-CCT: FLETCHER LED  BUNKER CCT OVAL,EA,0.00,24.33,9312699218620,LIGHT FITTINGS,LED LIGHT FITTINGS,LED LIGHT FITTINGS
10081616,CLIC2032VH-WE,CLI,CLIC2032VH-WE: Wall Plate 2 Gang Grid & Plate WH,EA,0.00,6.03,9311554322908,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PVC PLATES  GRIDS & MECHS
10255606,CLIMX9R3116,CLI,CLIMX9R3116: MAX9 RCBO 1PN C 16A 30MA A Slim,EA,0.00,44.80,9311554812690,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10126478,AMPG35J,AMP,AMPG35J: Wall Plugs In Jar Green 35mmx12g(pk100),JR,0.00,8.33,9318861008495,TOOLS  FASTENERS  LADDERS & AC,FASTENERS,WALL PLUGS / STAR PLUGS
10191499,FNTRESPF250HP,FNT,FNTRESPF250HP: Rapid Response 250mm high performance fan 290mm cut out 150mm spigot,EA,0.00,150.10,9325971008581,HEATING & AIR MOVEMENT,FANS  AIR MOVEMENT,EXHAUST FAN & ACCESS. INDUSTRI
10031888,CLI3044HA-VW,CLI,CLI3044HA-VW: Switch 4 Gang Horiz 10A 250V VW,EA,0.00,33.36,9311554786106,BAKELITE,ICONIC,SWITCHES
10003222,MMR04MM-RP02,MMR,MMR04MM-RP02: Recessed Power Point Mnt Box With AV,EA,0.00,32.20,9322190029373,MATV PRODUCTS,MATV PRODUCTS,MATV ANTENNA ACCESSORIES
10221510,OMEUKF2-20,OME,OMEUKF2-20: Isolator SW 2P 20A 440VAC IP66 Grey,EA,0.00,16.88,9323441035440,INDUSTRIAL CONTROL,INDUSTRIAL SWITCHES,ISOLATOR MULTI PHASE SWITCH
10032402,CLI30M35HOB-WE,CLI,CLI30M35HOB-WE: Mech 35A 250V Hob WH,EA,0.00,35.93,9311554288044,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PVC PLATES  GRIDS & MECHS
10195255,PHIS10,PHI,PHIS10: Starter Fluorescent 4- 65W (Box Of 25),EA,0.00,1.29,8711500697691,LIGHTING CONTROL GEAR,FLOURESCENT CONTROL GEAR,FLUORESCENT STARTERS
10180882,OMEPBH720,OME,OMEPBH720: Screw Bugle Head 7g x 20mm,PK,0.00,4.01,9323441004224,TOOLS  FASTENERS  LADDERS & AC,FASTENERS,SCREWS
10022456,CLI2031VX-WE,CLI,CLI2031VX-WE: Switch Blank Grid & Plate WH,EA,0.00,4.61,9311554045906,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PVC PLATES  GRIDS & MECHS
10086788,AUSCD2516WH,AUS,AUSCD2516WH: Trunking PVC Mini Duct 25 x 16mm White,EA,0.00,21.51,9322537020186,PVC DUCTING & FITTINGS,PVC SOLID DUCT & FITTINGS,PVC SOLID DUCT & FITTINGS
10081520,CLIC2031VA-WE,CLI,CLIC2031VA-WE: Switch 1 Gang Vert 10A 250V WH,EA,0.00,8.44,9311554321475,BAKELITE,DOMESTIC & ALLIED PRODUCTS,BAKELITE FAST MOVERS
10095427,OMECT200W4CK,OME,OMECT200W4CK: Cable Tie 200 x 4.8mm Outdoor (1000PK),PK,0.00,50.81,9323441004156,CABLE ACCESSORIES,CABLE TIES,CABLE TIES
10255608,CLIMX9R3120,CLI,CLIMX9R3120: MAX9 RCBO 1PN C 20A 30MA A Slim,EA,0.00,44.80,9311554812713,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10190780,CLIRCBE225/30S,CLI,CLIRCBE225/30S: RCBO 1 Pole C Curve 30MA 4.5KA 25A,EA,0.00,29.51,9311554758967,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10032318,CLI30FFPFMS-WE,CLI,CLI30FFPFMS-WE: Mech PAL To F WH,EA,0.00,8.21,9311554679316,BAKELITE,DOMESTIC & ALLIED PRODUCTS,COMP./TELE/TV SOCKETS & PLATES
10097868,SUOD5012500,SUO,SUOD5012500: Drill Bit Spade 25mm,EA,0.00,23.78,9311963007908,TOOLS  FASTENERS  LADDERS & AC,TOOLS,DRILL BITS
10152543,SYALGS10TC/B22,SYA,SYALGS10TC/B22: Opal Lamp 9.5W TC Nondim B22,EA,0.00,6.28,,LIGHT SOURCE (LAMPS & TUBES),LED LAMPS,LED LAMPS
10317855,AIRCEF40N-WE,AIR,AIRCEF40N-WE: Fan Ceiling Duct  Exhaust,EA,0.00,97.58,,HEATING & AIR MOVEMENT,FANS  AIR MOVEMENT,EXHAUST FAN & ACCESS. DOMESTIC
10190650,AUSRC25HDSOLAR,AUS,AUSRC25HDSOLAR: Conduit PVC HD Solar Solid 25mm x 4MT,LN,0.00,11.27,9322537031823,PVC CONDUIT & FITTINGS,PVC RIGID CONDUIT,PVC RIGID CONDUIT HEAVY DUTY
10138283,TDRHYMF,TDR,TDRHYMF: Mounting Block 41mm WH,EA,0.00,3.56,9349703002692,BAKELITE,DOMESTIC & ALLIED PRODUCTS,MOUNTING BLOCKS
10046849,CLI559/3-WE,CLI,CLI559/3-WE: Junction Box Mini 25x75x35mm WH,EA,0.00,6.82,9311554190200,BAKELITE,DOMESTIC & ALLIED PRODUCTS,JUNCTION BOXES
10275693,CLI42ELEDM2-VW,CLI,CLI42ELEDM2-VW: 40 Series Rotary LED Dimmer Module 150W,EA,0.00,59.93,9311554815752,BAKELITE,DOMESTIC & ALLIED PRODUCTS,CONTROLLERS - DIMMERS / FANS
10079485,AUSBU50WH,AUS,AUSBU50WH: 50mm ID NBN/Tels Bush/Bell Coup,EA,0.00,1.53,,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10084665,OMECAN-TAG,OME,OMECAN-TAG: Pit Can ID Tag Telstra (100),EA,0.00,0.33,9323441007973,COMMUNICATION,TELSTRA NETWORK PRODUCTS,MDU DEVICES
10135005,TDRHPPP2G,TDR,TDRHPPP2G: P/Point W/P Surf 2g IP54 10A 250V Grey,EA,0.00,27.91,9349703000087,BAKELITE,DOMESTIC & ALLIED PRODUCTS,W/PROOF COMBINATIONS SWITCHES
10221413,OMEUGWT150-100,OME,OMEUGWT150-100: Tape Warning U/G Elec 150mm x 100MTR RED,CL,0.00,20.67,9323441020323,TAPES  SEALANTS & LUBRICANTS,TAPES,TAPES
10260659,BSK30840491,BSK,BSK30840491: Bostik PVC Pipe Cement Type N Clear 250L,EA,0.00,10.36,9310492260396,TAPES  SEALANTS & LUBRICANTS,ADHESIVES/SEALANTS,ADHESIVES/SEALANTS
10229335,LEGWL777LG,LEG,LEGWL777LG: P/Point W/P Surf 2g IP53 10A 250V Grey,EA,0.00,29.98,9321001484103,BAKELITE,DOMESTIC & ALLIED PRODUCTS,W/PROOF COMBINATIONS SWITCHES
10240535,AMPJB252,AMP,AMPJB252: Junction Box 25mm Two Way Box 10,EA,0.00,2.28,9323441039080,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10192974,CLIRMXPH112,CLI,CLIRMXPH112: Busbar Resi Max 1P 12 Mod 1P+N 80A,EA,0.00,34.62,3606480795763,BAKELITE,CONSUMER FUSE & SWITCHBOARDS,CONSUMER SWITCHBOARD-DIN/PORC.
10307236,SYASES7070/2TC/BK,SYA,SYASES7070/2TC/BK: Twin Sensor  Spot Stargem IV 2X12W 3/4/5K,EA,0.00,75.02,,LIGHT FITTINGS,LED LIGHT FITTINGS,LED LIGHT FITTINGS
10221511,OMEUKF2-35,OME,OMEUKF2-35: Isolator SW 2P 35A 440VAC IP66 Grey,EA,0.00,17.66,9323441035457,INDUSTRIAL CONTROL,INDUSTRIAL SWITCHES,ISOLATOR MULTI PHASE SWITCH
10035593,HPM366LYWE,HPM,HPM366LYWE: Batten Holders White,EA,0.00,4.66,9321001013884,BAKELITE,DOMESTIC & ALLIED PRODUCTS,BAKELITE FAST MOVERS
10200811,SYASES7080/2TC/BK,SYA,SYASES7080/2TC/BK: LED Flood W/Sen 2x15w IP54 TC Black,EA,0.00,77.81,9328623119413,LIGHT FITTINGS,LED LIGHT FITTINGS,LED LIGHT FITTINGS
10187729,TDRPUSW1G,TDR,TDRPUSW1G: Switch 1 Gang 16A 250V WH,EA,0.00,9.73,9349703004498,BAKELITE,DOMESTIC & ALLIED PRODUCTS,SWITCHES
10328097,TBXELONDL115-WH-3C,TBX,TBXELONDL115-WH-3C: ELON  DOWNLIGHT 9W 3CCT DIM WHITE,EA,0.00,7.08,,LIGHT FITTINGS,LED LIGHT FITTINGS,LED LIGHT FITTINGS
10297300,SYASL9732/40TC/DP3,SYA,SYASL9732/40TC/DP3: LED Batten Ecoline III 20/40W 1135 x 65mm CCT 3/4/5.7K,EA,0.00,58.34,,LIGHT FITTINGS,LED LIGHT FITTINGS,LED LIGHT FITTINGS
10121669,TDRFLPP2G,TDR,TDRFLPP2G: Powerpoint 2 Gang 10A 250V WH,EA,0.00,12.21,9349703009448,BAKELITE,DOMESTIC & ALLIED PRODUCTS,COMBINATIONS
10168601,THTMSPRO,THT,THTMSPRO: Sensor Surf PIR IP66 120D 10A 250V WH,EA,0.00,45.05,9323441037826,BAKELITE,ELECTRONIC PRODUCTS,PIR SENSOR / SURGE ARRESTOR
10108883,LEGED770/3HWE,LEG,LEGED770/3HWE: Switch 3 Gang Horiz 16A 250V WH,EA,0.00,24.33,9321001422877,BAKELITE,DOMESTIC & ALLIED PRODUCTS,SWITCHES
10179566,OMEP5GASKET,OME,OMEP5GASKET: Pit Poly Gasket P5,EA,0.00,7.14,9323441002756,COMMUNICATION,TELSTRA NETWORK PRODUCTS,TELSTRA PITS
10025907,CLI230DRAVL,CLI,CLI230DRAVL: Meter Box 21 Mod With Fuse Lock (VIC),EA,0.00,228.82,9311554757748,AERIAL CABLE & DISTR. PARTS,METER BOXES,METER BOXES
10230247,CLIWSC227/1-RG,CLI,CLIWSC227/1-RG: P/Point W/P Surf 1g IP53 10A 250V RG,EA,0.00,24.04,9311554643942,BAKELITE,DOMESTIC & ALLIED PRODUCTS,W/PROOF COMBINATIONS SWITCHES
10225263,VNAVHL275,VNA,VNAVHL275: Heat Globe 275W,EA,0.00,14.58,9339310007401,LIGHT SOURCE (LAMPS & TUBES),HALOGEN DICHROIC Q.I. LAMPS,HALOGEN DICHROIC Q.I. LAMPS
10031739,CLI3040-VW,CLI,CLI3040-VW: Switch Blank Grid & Plate VW,EA,0.00,6.18,9311554785529,BAKELITE,ICONIC,PVC PLATES  GRIDS & MECHS
10100877,OMEDFE100BS,OME,OMEDFE100BS: Flashing Premium #0 OD 0-35mm 100x100 BK,EA,0.00,7.79,9316867051828,CABLE ACCESSORIES,INSULATION,INSULATING MATERIALS
10107780,OMEEC130L,OME,OMEEC130L: Earth Clip lge; 13mm E/Rod T/S cond4-10mm,EA,0.00,3.13,9323441005399,CABLE ACCESSORIES,EARTH RODS,EARTH RODS
10204929,OMESMDW22-6TK,OME,OMESMDW22-6TK: Heatshrink Adhesive 22-6mm 1.2MT Black,LN,0.00,16.88,9323441027513,CABLE ACCESSORIES,HEATSHRINK,HEAT SHRINK
10124995,ETCFT2CE7067,ETC,ETCFT2CE7067: Cable Flat 2 Core & Earth 2.5mm TPS,MT,0.00,2.42,,CABLE,PVC POWER CABLE,FLAT  TPS  POWER CABLE
10187684,TDRPUPP1G,TDR,TDRPUPP1G: Powerpoint 1 Gang 10A 250V WH,EA,0.00,10.33,9349703004740,BAKELITE,DOMESTIC & ALLIED PRODUCTS,COMBINATIONS
10240537,AMPJB253,AMP,AMPJB253: Junction Box 25mm Three Way Box 10,EA,0.00,2.28,9323441039103,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10144954,HAGKDN180A,HAG,HAGKDN180A: Busbar 1PH 12 Mod 80A,EA,0.00,26.52,3250613740986,DISTRIBUTION BOARDS,DISTRIBUTION BOARD ACCESSORIES,EARTH & NEUTRAL BARS LINE TAPS
10187752,TDRPUSWPV1G,TDR,TDRPUSWPV1G: Switch 1 Gang Grid & Plate WH,EA,0.00,5.92,9349703004375,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PVC PLATES  GRIDS & MECHS
10168493,HAGMSN150,HAG,HAGMSN150: MCB 1 Pole C Curve 6KA 250VAC 50A,EA,0.00,10.36,3250613810139,CIRCUIT BREAKERS,MINIATURE CIRCUIT BREAKER,MCB INDUSTRIAL
10022435,CLI2031VH-WE,CLI,CLI2031VH-WE: Switch 1 Gang Grid & Plate WH,EA,0.00,4.50,9311554045173,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PVC PLATES  GRIDS & MECHS
10255557,CLIMX9EF8,CLI,CLIMX9EF8: Clipsal Enclosure Pole Filler 8 Modules,EA,0.00,8.64,9311554814892,BAKELITE,CONSUMER FUSE & SWITCHBOARDS,CONSUMER SWITCHBOARD-DIN/PORC.
10366548,RENHBT100200-160,REN,RENHBT100200-160: Highbay multi-wattage IP65 CCT 3/4/5K,EA,0.00,157.59,,LIGHT FITTINGS,LED LIGHT FITTINGS,LED HIBAY LIGHT FITTINGS
